PriceGroup,WidthInches,HeightInches,Price
3,36,54,156.66
3,42,54,178.50
3,48,54,199.08
3,54,54,220.92
3,60,54,243.18
3,66,54,266.28
3,72,54,287.70
3,84,54,333.06
3,96,54,379.68
3,24,60,130.20
3,30,60,146.16
3,36,60,169.26
3,42,60,193.20
3,48,60,214.20
3,54,60,239.82
3,60,60,262.08
3,66,60,288.12
3,72,60,312.48
3,84,60,362.04
3,96,60,411.18
3,24,66,137.76
3,30,66,155.82
3,36,66,181.02
3,42,66,205.80
3,48,66,230.58
3,54,66,257.88
3,60,66,282.24
3,66,66,309.96
3,72,66,336.00
3,84,66,388.92
3,96,66,442.68
3,24,72,147.42
3,30,72,168.84
3,36,72,196.98
3,42,72,223.86
3,48,72,250.32
3,54,72,279.72
3,60,72,307.02
3,66,72,337.26
3,72,72,365.40
3,84,72,423.78
3,96,72,483.42
3,24,78,155.40
3,30,78,178.08
3,36,78,208.32
3,42,78,237.72
3,48,78,267.54
3,54,78,297.78
3,60,78,327.60
3,66,78,359.52
3,72,78,389.34
3,84,78,451.50
3,96,78,514.92
3,24,84,162.96
3,30,84,187.74
3,36,84,219.66
3,42,84,251.58
3,48,84,280.98
3,54,84,314.58
3,60,84,345.66
3,66,84,380.52
3,72,84,412.02
3,84,84,480.06
3,96,84,545.58
3,24,90,171.78
3,30,90,200.34
3,36,90,233.52
3,42,90,267.54
3,48,90,300.30
3,54,90,336.00
3,60,90,369.18
3,66,90,406.14
3,72,90,441.42
3,84,90,512.82
3,96,90,583.80
3,24,96,178.08
3,30,96,209.16
3,36,96,244.44
3,42,96,280.56
3,48,96,315.00
3,54,96,353.22
3,60,96,388.50
3,66,96,426.72
3,72,96,464.10
3,84,96,538.44
3,96,96,615.30
4,24,36,126.42
4,30,36,144.90
4,36,36,165.90
4,42,36,188.16
4,48,36,207.90
4,54,36,231.84
4,60,36,253.68
4,66,36,274.68
4,72,36,298.20
4,84,36,345.66
4,96,36,391.02
4,24,42,136.08
4,30,42,157.50
4,36,42,181.02
4,42,42,207.48
4,48,42,228.48
4,54,42,255.36
4,60,42,280.98
4,66,42,305.34
4,72,42,330.12
4,84,42,382.62
4,96,42,433.86
4,24,48,144.06
4,30,48,169.26
4,36,48,194.88
4,42,48,221.76
4,48,48,245.70
4,54,48,277.20
4,60,48,303.24
4,66,48,331.80
4,72,48,359.52
4,84,48,415.80
4,96,48,471.66
4,24,54,158.76
4,30,54,185.22
4,36,54,214.62
4,42,54,242.34
4,48,54,270.48
4,54,54,302.82
4,60,54,332.64
4,66,54,365.82
4,72,54,395.22
4,84,54,456.54
4,96,54,518.28
4,24,60,170.52
4,30,60,199.50
4,36,60,231.84
4,42,60,262.08
4,48,60,290.64
4,54,60,328.02
4,60,60,359.52
4,66,60,394.80
4,72,60,427.56
4,84,60,494.76
4,96,60,561.12
4,24,66,183.54
4,30,66,214.62
4,36,66,248.22
4,42,66,281.40
4,48,66,315.00
4,54,66,352.80
4,60,66,386.82
4,66,66,424.20
4,72,66,459.90
4,84,66,532.14
4,96,66,605.64
4,24,72,194.88
4,30,72,227.64
4,36,72,265.02
4,42,72,301.98
4,48,72,336.00
4,54,72,377.16
4,60,72,415.80
4,66,72,454.86
4,72,72,492.66
4,84,72,569.52
4,96,72,650.16
4,24,78,204.96
4,30,78,241.50
4,36,78,279.72
4,42,78,318.36
4,48,78,359.52
4,54,78,400.26
4,60,78,443.52
4,66,78,484.68
4,72,78,526.68
4,84,78,608.16
4,96,78,691.32
4,24,84,213.78
4,30,84,252.84
4,36,84,295.26
4,42,84,336.00
4,48,84,378.42
4,54,84,421.26
4,60,84,465.36
4,66,84,509.46
4,72,84,551.46
4,84,84,637.98
4,96,84,727.44
4,24,90,223.86
4,30,90,266.28
4,36,90,310.38
4,42,90,353.22
4,48,90,397.32
4,54,90,445.20
4,60,90,489.72
4,66,90,537.18
4,72,90,585.06
4,84,90,676.20
4,96,90,768.60
4,24,96,233.10
4,30,96,278.04
4,36,96,322.98
4,42,96,369.18
4,48,96,415.80
4,54,96,465.36
4,60,96,514.50
4,66,96,562.80
4,72,96,611.52
4,84,96,708.96
4,96,96,807.66
5,24,36,115.08
5,30,36,132.30
5,36,36,151.20
5,42,36,171.78
5,48,36,189.42
5,54,36,211.68
5,60,36,231.00
5,66,36,250.32
5,72,36,271.74
5,84,36,315.00
5,96,36,356.16
5,24,42,123.90
5,30,42,143.64
5,36,42,165.06
5,42,42,188.58
5,48,42,207.90
5,54,42,232.26
5,60,42,256.62
5,66,42,278.88
5,72,42,301.14
5,84,42,349.02
5,96,42,395.22
5,24,48,131.88
5,30,48,154.56
5,36,48,177.24
5,42,48,202.86
5,48,48,224.28
5,54,48,252.42
5,60,48,276.36
5,66,48,302.40
5,72,48,328.02
5,84,48,379.26
5,96,48,430.50
5,24,54,144.06
5,30,54,168.42
5,36,54,195.30
5,42,54,220.92
5,48,54,246.12
5,54,54,275.94
5,60,54,302.82
5,66,54,333.90
5,72,54,360.36
5,84,54,416.22
5,96,54,471.66
5,24,60,155.82
5,30,60,181.44
5,36,60,211.68
5,42,60,239.40
5,48,60,265.44
5,54,60,299.04
5,60,60,328.02
5,66,60,359.52
5,72,60,390.18
5,84,60,450.24
5,96,60,511.56
5,24,66,167.58
5,30,66,195.72
5,36,66,226.38
5,42,66,257.04
5,48,66,287.28
5,54,66,321.30
5,60,66,352.38
5,66,66,386.82
5,72,66,418.74
5,84,66,485.10
5,96,66,551.88
5,24,72,177.24
5,30,72,207.48
5,36,72,241.08
5,42,72,274.68
5,48,72,306.60
5,54,72,343.14
